All_Bonds,FTSE_MIB,GOLD_SPOT,MSCI_EM,MSCI_EURO,SP_500,US_Treasury
247.5673101104533,21048.049009708717,1491.8936944383308,982.5422526158421,1146.0819498548324,2953.4012899192367,2416.7689643451604
247.31917926849906,21102.62160237937,1496.515431295118,980.2900210879399,1157.5104221988972,2968.3655753262146,2409.366163389759
247.59116257802998,21201.325709806646,1488.5285810489142,976.6166644832589,1143.1770588016223,2985.560912011378,2412.019043460162
248.33997797523904,21068.26015864883,1474.68768391018,970.2991616918467,1134.9028029242081,2971.717020160322,2421.360498606512
248.6957113281589,21036.573402973838,1475.471091808522,958.5419348870397,1146.2521379691293,2988.963663143495,2420.440619393087
249.5164307156772,21144.70585165234,1466.1281795208945,961.6756932900271,1135.9757385841865,2988.976180643913,2430.0698453934783
250.04193507996104,21131.54769873801,1476.3348908920843,964.3888044628017,1138.816259529958,2997.13372749032,2434.0356949660177
250.11733598375582,21114.91405582904,1462.6195384544503,966.1381435850653,1149.1327379780114,3024.7219893372576,2431.4738009161
250.5692034198345,21075.569392137186,1467.8077670638143,976.1647461977392,1148.9812263591148,3045.4152719725307,2433.656986029332
250.7455026927647,21048.660626979185,1470.432609288422,978.4478313792296,1143.954755030276,3049.692548226435,2434.661811095391
250.94169195438113,20938.405238949585,1456.7496374118036,977.3957916427775,1142.5210962019942,3048.0768634502747,2436.3191181028715
251.30636933602364,20919.60698816756,1467.5696186816738,978.6456116467632,1139.439555663097,3054.103189947755,2437.7340993287125
251.5487685505489,20862.662881859687,1445.0269779764594,963.7201609827521,1128.435990989851,3054.185558191246,2441.0480422139117
252.21334247421936,20851.68011316029,1458.1208813425612,958.7872137665024,1122.8586674494723,3055.6326430543704,2449.196132769142
252.6716502317322,20833.71714861139,1458.2278828504154,957.8091478367203,1131.1265663582658,3063.217939233525,2451.6098509553512
252.77564202433558,20810.9915198984,1445.8309458503945,954.6148832212989,1120.211604835248,3066.212712574244,2453.3014335184935
252.98621725696282,20801.547133871478,1450.5325136750835,959.2659224276529,1119.0394865444168,3070.0283866831087,2458.663856186281
253.0539001209345,20770.171215791266,1430.734965841916,964.4136611610816,1124.5226735877936,3064.6381346513076,2459.891783960104
253.25040493243648,20673.70954537287,1443.662848805648,969.4558739252533,1122.1821027033652,3067.3904393728208,2461.7388289386477
253.7215260844814,20700.01531433391,1445.0044012185197,978.0549626593289,1116.8479912142677,3069.489825091055,2466.5148759464937
253.9286406142657,20717.48113031057,1442.3079071988618,977.3682090557211,1110.9672268250185,3073.4503004084577,2466.00496114149
254.04449397879563,20655.54542244214,1439.1469930220778,977.054442220751,1111.2958983431408,3073.960272647705,2465.7961439100723
254.35627795749483,20731.954954831774,1416.261163187484,975.9467091692358,1098.461747112972,3072.2769006470626,2469.141390204848
254.64572514265768,20766.415301433382,1430.8019118114896,965.5552633806437,1084.7020189315638,3066.946918061718,2474.999586014813
255.08062530620293,20783.439526867074,1410.905037447733,961.9673633891034,1091.3387521731406,3063.62359896929,2479.134176784458
255.4490013463398,20773.75806131871,1411.2756212039926,960.2603181348862,1080.7457397899318,3064.3976750136503,2481.912989560768
255.73432051824602,20790.710444473174,1412.7305896130163,961.8219201860768,1075.0293923618976,3065.5308951440747,2485.9374191738934
256.0378329515852,20808.04215486195,1393.1858958666028,972.3356561599007,1079.6756288048787,3069.091119522189,2487.7200356953604
256.23039597599256,20816.39741193582,1402.0475254558137,980.0820528111043,1071.4639797881325,3070.41828364057,2487.49352940095
256.4379967629775,20814.167906537205,1390.0863254862063,986.0801495851401,1064.2985277221114,3069.4674172199366,2490.262035541642
256.7271232253059,20841.930636920926,1398.0608229405352,991.5262709187571,1059.520355179481,3068.4507180193286,2492.2111881195706
256.99715633308523,20862.910498248748,1392.225263219519,987.8627275136712,1056.726844480672,3068.5476127447855,2492.7614665859264
257.38688630645925,20874.950785298337,1381.6383323541897,983.1683722309796,1049.3068584630528,3069.6599703745133,2496.2715231749207
257.80661421075433,20885.70365870421,1391.796528905588,975.1875832186141,1038.675414260427,3070.0456948318347,2500.8789727991816
258.1013947062776,20915.548857288402,1377.492276022633,966.393252700928,1047.5749615239051,3070.7714007819877,2503.2658937327824
258.3637873684679,20920.120899938283,1390.8362043780296,965.1231418623627,1040.871816520734,3070.760737726076,2505.4873811802436
258.6038742748156,20918.184511038904,1378.626660071083,965.4945953185636,1037.0248992799632,3071.150480146495,2509.2023240977687
258.84773226094285,20941.579709794274,1369.6786169604766,969.7748199488985,1048.6925815691518,3071.463417656942,2512.115554577683
259.15657283169344,20949.296528480096,1375.476642121146,979.6006267795799,1048.5878713916793,3073.315080496536,2512.9456462166254
259.4262127953531,20944.215842493304,1361.7481245765246,985.8534408229668,1048.983650689858,3075.732657984652,2514.768099083204
259.64969970854236,20958.36685570652,1375.8565254848943,990.4197134067767,1053.2207036791106,3076.9491735808206,2516.4556548677792
259.86205960855494,20974.368047084048,1363.2705991724406,990.340850037114,1057.7275218239745,3077.246657387048,2516.9767871273625
260.09618210477123,20976.114293417748,1361.0228392249883,982.5775869491065,1061.2789386264972,3076.912702838862,2519.7708441368204
260.3911281346606,20974.19849930508,1362.485902774266,974.0817753260473,1058.6806901070831,3076.533932548439,2524.4829420659908
260.38441364693244,20942.06919519006,1368.077880005151,966.6054290685621,1075.7139091189342,3083.141781935704,2527.9556550775574
260.6613319497551,20947.35151850721,1384.1718031341325,961.1478078916697,1080.4181471004256,3084.7350588407458,2530.3101220934195
